Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
EBTP3   10.21   -43.56     1.17    0.548      0.00    0.353      -502.47    6.42       -0.73       8.46        2.85    0.0853      -0.0103     0.99    0.0603      -0.0268 0.00   
EBTP4   10.00   -42.66     1.14    0.537      0.00    0.346      -492.13    6.29       -0.71       8.33        2.81    0.0853      -0.0103     0.99    0.0603      -0.0268 0.00   
GLOB4   30.49   -40.54     16.35   2.394      0.00    2.246      -15.29     49.78      -5.01       54.59       30.76   0.0481      -0.0591     0.74    0.0625      -0.4032 0.00   
FBRA4   34.58   -39.57     1.66    0.457      0.00    0.738      18.94      7.40       -4.43       10.62       10.62   0.0618      -0.0115     1.11    0.1194      -0.042 0.00   
BRTP4   20.81   -39.19     1.43    0.681      0.00    0.399      5.23       3.51       -1.40       5.03        5.03    0.1937      -0.0296     1.29    0.1341      -0.0364 0.00   
KROT11  40.00   -35.86     0.89    1.887      0.00    0.425      13.84      8.34       -1.39       13.07       8.59    0.2262      -0.0552     1.21    0.0564      -0.0247 0.00   
ITEC3   40.10   -35.12     22.04   2611.690   0.00    9.216      25.42      -26.00     -68.91      -24.80      -29.56  -100.447    -74.3588    5.23    -0.6306     -0.6276 0.00   
PRGA4   75.00   -34.18     8.94    2.339      0.00    2.130      19.90      5340.37    -7.99       5802.46     43.17   0.0004      -0.0663     1.29    0.0007      -0.2615 0.00   
HAPV3   4.45    -32.75     0.68    1.245      0.00    0.449      78.80      961.59     -2.00       1118.60     17.42   0.0013      -0.0381     1.05    0.0005      -0.0209 351062000.00
IMBI4   3.50    -32.43     1.96    1857.600   0.00    0.362      -1.54      -67.85     -0.26       -75.44      -77.41  -27.3788    -138.212    0.05    -0.0054     -0.0605 0.00   
PRTX3   2.77    -32.27     -145.32 297.651    0.00    1.400      -2.57      -97.11     -1.43       -128.99     37.19   -3.065      -9.2247     0.05    -0.015      4.5037 0.00   
KROT4   5.12    -32.13     0.80    1.691      0.00    0.381      12.40      7.47       -1.25       12.20       8.02    0.2262      -0.0552     1.21    0.0564      -0.0247 0.00   
OMGE3   27.57   -32.03     1.59    3.419      0.00    0.543      10.86      12.56      -1.06       24.34       13.09   0.2723      -0.1112     1.72    0.0469      -0.0495 0.00   
MGLU3   1.88    -31.91     1.33    0.339      0.00    0.344      5.40       12.36      -1.60       16.37       7.25    0.0275      -0.0106     1.14    0.0422      -0.0417 309168000.00
BALM3   11.70   -31.44     0.78    0.626      0.0185  0.459      0.96       4.05       1.53        2.91        2.50    0.1545      -0.0048     3.08    0.1533      -0.0248 696.35 
DFVA3   9.90    -31.38     60.69   4.327      0.00    5.365      29.10      -55.91     -31.47      -58.28      -58.28  -0.0774     -0.1379     1.33    -0.1035     -1.9342 0.00   
ASTA4   25.83   -30.79     1.00    0.652      0.00    0.446      2.57       19.90      -3.30       33.20       33.20   0.0328      -0.0212     1.71    0.0252      -0.0325 0.00   
MNPR3   17.48   -30.77     -0.38   0.328      0.00    0.372      -0.33      1.88       -0.27       1.88        1.63    0.1747      -0.0106     0.34    0.21        0.0125 73014.10
VGOR4   5.87    -29.58     7.18    1.229      0.00    1.468      113.97     27.32      -3.22       34.09       34.09   0.045       -0.0459     1.04    0.06        -0.2429 0.00   
CRBM3   90.00   -28.95     3.26    1.498      0.00    1.172      2.98       -15.45     16.90       -14.17      -14.17  -0.097      -0.0518     2.24    -0.1271     -0.1128 0.00   
BAHI4   86.00   -27.97     52.67   6.010      0.00    3.635      -9.67      -171.36    -4.23       -184.84     489.64  -0.0351     -0.2211     0.13    -0.0219     -1.8832 0.00   
BALM4   9.80    -26.33     0.65    0.525      0.022   0.385      0.81       3.40       1.28        2.25        1.93    0.1545      -0.0048     3.08    0.1533      -0.0248 2732.80
LJQQ3   5.06    -25.67     1.88    0.402      0.00    0.310      1.01       18.68      -1.84       18.34       5.37    0.0215      -0.0156     1.86    0.0214      -0.0733 18877400.00
DFVA4   8.00    -25.35     49.04   3.497      0.00    4.335      23.51      -45.18     -25.43      -47.55      -47.55  -0.0774     -0.1379     1.33    -0.1035     -1.9342 0.00   
CLSA3   3.70    -24.79     0.97    1.334      0.00    0.774      1.63       -8.32      1.70        -3.85       -7.88   -0.1603     -0.0538     3.59    -0.1835     -0.0392 2051990.00
CSNA3   16.29   -24.54     1.22    0.485      0.1527  0.244      1.96       3.05       -0.59       6.88        4.68    0.159       -0.0056     1.53    0.1091      -0.0496 118832000.00
PTBL3   7.00    -24.51     2.58    0.463      0.03    0.325      -44.03     7.57       -0.67       14.22       7.18    0.0612      -0.0189     0.98    0.058       -0.1054 5812750.00
ESPA3   1.29    -23.12     0.53    0.469      0.00    0.204      3.50       4.13       -1.04       10.24       5.90    0.1136      -0.0227     1.16    0.0554      -0.023 2131020.00
ALPA3   9.51    -23.07     1.21    1.697      0.00    0.822      2.92       64.06      10.91       72.23       24.89   0.0265      -0.0737     3.51    0.0147      -0.0522 33773.10
MODL3   3.08    -22.99     1.88    0.000      0.0142  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.0817 0.00   
MRVE3   9.66    -22.90     0.79    0.758      0.00    0.225      1.02       27.47      -0.94       62.68       34.48   0.0276      -0.0289     1.99    0.0087      -0.0345 134584000.00
TAMM4   52.73   -22.74     3.80    0.626      0.00    0.524      -31.11     9.77       -0.96       18.01       9.66    0.0641      -0.0221     0.95    0.0636      -0.167 0.00   
TAMM3   52.60   -22.68     3.79    0.625      0.00    0.523      -31.04     9.74       -0.96       17.98       9.65    0.0641      -0.0221     0.95    0.0636      -0.167 0.00   
ALPA4   9.20    -22.32     1.17    1.641      0.00    0.795      2.83       61.97      10.55       70.15       24.18   0.0265      -0.0737     3.51    0.0147      -0.0522 40232400.00
BAHI5   65.00   -21.14     39.81   4.542      0.00    2.747      -7.31      -129.51    -3.19       -143.00     378.80  -0.0351     -0.2211     0.13    -0.0219     -1.8832 0.00   
MODL11  8.46    -21.05     1.72    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.0817 0.00   
USIM5   7.75    -20.85     0.41    0.341      0.0424  0.242      0.73       7.53       2.04        7.80        4.38    0.0452      -0.0061     3.43    0.0404      -0.0199 84359300.00
TELB3   16.36   -20.81     0.89    3.556      0.00    0.349      1.10       -4.55      -1.67       -0.91       -4.51   -0.7809     -0.1709     4.96    -0.1171     -0.0428 13948.00
USIM3   7.67    -20.63     0.41    0.337      0.039   0.239      0.72       7.45       2.02        7.72        4.34    0.0452      -0.0061     3.43    0.0404      -0.0199 1391430.00
MODL4   2.72    -20.30     1.66    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.0817 0.00   
